translated	origin_language
The English language should really have more letters than 26, or at least, you should use accents to cover all the phonemes you have. Anglophones know that their language cannot be reformed.	es
The megalomaniac differs from the narcissistic in that he wants to be powerful rather than charming, and seeks to be feared rather than loved. This type of personality corresponds to several mentally disturbed and the majority of great men in history.	fr
A building with high ceilings and huge rooms can be less practical than the colorless block of offices that takes its place, but often it adapts well with the surrounding environment.	ru
"""Why does this Einstein quotation sound like a literal translation from English? It couldn't have said that.""- ""Probably because it is actually a translation from English."""	de
For us it is possible to know what was achieved in the past, but not change it. And it is possible to change the future, but not know what will be achieved in it.	es
The father's heart was delighted to see his son who, eager for knowledge, learned so quickly and grew up to become a scholarly priest, a real prince among men to know about his caste.	fr
The border of the solar bubble is the heliopause, about fifty astronomical units of the sun, where the pressure of the solar wind is reduced to the tiny pressure between the stars, in our arms of the galaxy.	fr
I know that adding phrases only in his mother tongue or in his stronger language is probably not funny what he practiced in foreign languages, but, please does not add phrases in the corpus of Tatoeba if it is absolutely not sure they are correct. If he wants to practice the languages ​​he is studying, please do it using a website designed for this purpose such as www.lang-8.com.	ru
If you cannot visit a country where the language you are learning speak, find a local bar in which the native speakers of that language meet and start frequenting it.	ru
Love is a naive source, part of its bed of watercress, flowers, gravel, which river, which river, changes in nature and appearance with each flow, and throws itself into an immeasurable ocean where the incomplete minds see monotony, where the great souls are damaged in perpetual contemplations.	fr
Man has many desires that he doesn't really want to satisfy, and he would be a misunderstanding to imagine the opposite. He wants them to remain desires, they have value only in their imagination, their fulfillment would be a bitter disappointment for him. One desire is the desire of eternal life. If it was fulfilled, the man would get tired of living forever, and would yearn for death.	es
In 1912, the Austrian tailor Franz Reichelt died when jumping from the first floor of the Eiffel Tower to prove his new invention, the parachute suit, which did not work ...	es
At the beginning of a game in Dama, on a 64 chess chessboard, the white pawns on A1, C1, E1, G1 are placed;B2, D2, F2, H2;A3, C3, E3 and G3. Blacks occupy the chess B8, D8, F8, H8;A7, C7, E7, G7;B6, D6, F6 and H6.	ru
It would be good to buy books if you could buy the time to read them, but you usually confuse the purchase of the books with acquiring their content.	de
Government transparency is a key component of democracy. Ensure that the public has access to government information creates public confidence in the government's decision process and also enables the public to have the government responsible for these decisions.	es
The Tikka Massala chicken is now a real British national dish, not only because it is the most popular, but because it is a perfect example of the way Great Britain absorbs and adapts to external influences. Tikka chicken is an Indian dish. The massala sauce was added to satisfy the English desire to have their meat served in the sauce.	ru
"After torturing a riddle making him tickle until his death for several hours, Cristoforo Colombo put the toy for novels in a chest with the writing: ""For the great pirate of the future al-Sayib: the novels always deserve it."""	ru
I wrote a sentence in Portuguese, which I found interesting, and I wanted to translate it into other languages. Unfortunately, my knowledge of foreign languages ​​is very limited.	fr
One day, their father said to his sons: “My dear boys, each take an arrow, pull with your big bow and fly it;In whatever court she choks, there will be a woman for you ”	fr
Because the sharks, we saw them not on the unit, neither by dozen, nor by hundreds, but by thousands and myriads. Believe me, there are more sharks in the sea than mortals on earth.	fr
Most scientists believe that this has been caused by man, through the release of methane, carbon dioxide and other greenhouse gases since industrialization. However, another small part of scientists doubts it.	ru
"“Tom is sitting there.""We are in a free country."""" You don't want to contact him? ""We can see that he is waiting.""In this case, he can continue to wait. If he wants something, let him come here.»»"	fr
Magnus Carlsen has retained his title of world chess champion. With four victories and seven draws in eleven matches, he dominated by 7.5 x 3.5 the challenger Ian Nepomniachtchi, which throughout the competition made serious errors.	fr
Bernard de Chartres used to say that we are like dwarfs on the shoulders of giants, so that we can see more than them, and things at greater distance, not by virtue of any visual acuity on our part, or any physical particularity, but because we are worn high and raised by their giant size.	fr
He had moved just half a mile, when he met a lame fox and a blind cat, walking together as two good friends. The lame fox leaned on the cat and the blind cat let the fox guide him forward.	es
We can discuss that Magnus is the greatest player of all time, but there is no doubt (at least in my opinion) on the fact that he is the strongest player of all time.	ru
Shortly after, a Turkish dictator decided that all his people should dress the European. Anyone who disobey would be sentenced to death. Then, the Turk spoke again with astronomers about his discovery. And this time everyone believed he was telling the truth.	es
The syndromes often take their name from the doctor or the group of doctors who have discovered them or who initially described the complete clinical picture. These names of homonymous syndromes are examples of eponymous medical. Recently, there has been a movement towards the denomination of the conditions in a descriptive way (for symptoms or cause below) rather than in an eponymous way, but the homonymous names of the syndrome often persist in common use.	ru
Anglo-Saxons will not only take your land. They will also take you as a slave, then, when you die, they will store your bones in a museum and describe you like a savage in their history books. They will also make some films on you to show how ugly you were and how brave their heroes were.	fr
Among the conscious planetary systems were infinite variations of personal relationships. As among human individuals, there were loves and hatred, sympathies and temperamental antipathies, cheerful and distressing intimacies, cooperations and frustrations in personal companies and in the great common company to build galactic utopia.	es
I'm screwed, I'm screwed! I still have more than half of this project to finish and I can't finish it in 4 hours. It's already 6 in the morning, so it was more than 12 hours that I have been working.	es
My Latin teacher looked at me severely above the edge of his glasses, but now I know that he had to do only with the fact that he wore reading glasses and that he would find annoying them continuously, so what he seemed contempt for us students could very well be very kindness.	ru
"I'm now saying ""amo"" - ""I love.""Then you say ""quem amas?""- ""Who you love?""I say ""te amo"" - ""I love you.""Then you can find my love and you can say ""amor a te"" - ""I'll be loved by you.""""Doceo te"" - ""I understood you"" and you say ""Docor a te"" - ""I will be instructed by you"" and so on."	de
The provision for warranty expenses is usually formed for specific losses, together with provisions based on historical estimates for customer demands in percent of sales, which can lead to fluctuations in the warranty expenses between the quarters.	de
They say that, on Columbus Day, Christopher Columbus's ghost leaves his grave and flies around the world, punishing the bad boys and girls who do not believe in him.	es
"Just at that time, the door opened and a long-bead creature passed the head and said: ""No one goes until next week.""And the door was closed with a crash."	fr
The driver of an incoming car made the lights flash in the direction of Tom to warn that there was a mobile speed camera later. Tom, who was darting, slowed down immediately and exceeded the speed camera just below the speed limit.	ru
Remember that the purpose of the Tatoeba project is to create example phrases that can be used to study languages. It is not really a place to contribute phrases that are not in their mother tongue because others correct them for you.	ru
Several literary works in Interlingua have already begun to appear, including a translation of Hamlet by William Shakespeare and several novels by Luigi Pirandello, and the publication of literary works in Interlingua grows continuously.	es
Ah, Alsace! We often know it for the beauty of its half -timbered houses, its renowned gastronomy, its famous Christmas markets ... But it is also a cultural crossroads in the heart of Europe. A link between France, Switzerland and Germany ... In an incredible diversity of landscapes where, between mountains and banks of the Rhine, outdoor activities are queens.	fr
"When Mark Twain wrote ""The Adventures of the Huckleberry Finn"", he regularly used by the N-word at ""Jim"", which he otherwise described on the friendliest. Twain certainly had poor character, but he was personally aware of many of them, and he should not be referred to as a racist. After the standards of his time, he would have to be considered amazingly open -minded and liberal. Nevertheless, someone would see his fellow creatures an average feeling of respect and knows what use has repeatedly found the N-word in a society that has been searched for by systemic racism, nowadays from using it."	de
It is not by telling our developers and administrators already busy (or other members of the community) in what order they must attack the problems or how long it takes to resolve them that you will propel them at the top of the waiting list and that you will manage to make friends at the same time.	fr
"“There is a hole in the sleeve of this sweater. I can't let you go with that.""Where is there a hole?"""" "" There !""Oh, no one will see it."""" You will not leave my home in this state. ""End of discussion!»»"	fr
"A strange German word is ""removed"", because the prefix ""removes"" means that you take something away, in this case the distance continues, so it approaches, which is the exact opposite of the real meaning of ""removing""."	de
"""Do you have a moment to devote me, Tom?""""No problem, but I only have a minute or two, so you will have to do very short, whatever you have to say.»»"	fr
Merkel was born in West German Hamburg;When she was three months old, she went to the GDR at the time after her father became a pastor of a church near Templin, a quiet, rural city north of Berlin.	de
More recently, tension was nourished by colonialism which denied rights and opportunities to many Muslims, and a cold war during which the Muslim majority countries were too often treated as agents, in defiance of their own aspirations.	fr
Hundreds of drivers kept in the middle of the street to observe a supposed UFO. It was Tom who was traveling in a hot air balloon in the form of a saucer to allow himself an April joke.	de
The dogs (the guardians of the sheep and goats) accompanied Cloe and, riding in their usual way, discovered Dorcon that he was about to get up to grab their mistress. Exchangeing him for a wolf, they launched a candid cry, they rushed to him and began to bite him before he could recover from amazement.	ru
The father of the father is the grandfather, the grandfather's father is great -grandfather, the father of great grandfather is the great -great grandfather, but a word has not been defined for generations before the great -great grandfather.	es
Nobody may be exposed to arbitrary interventions in his private life, his family, his apartment and his correspondence or impairments of his honor and reputation. Everyone is entitled to legal protection against such interventions or impairments.	de
It is still too difficult to find a job. And even if you have a job, most likely the Canuta passes to pay the growing cost of all, from food to gas.	es
This is not my fault. I had been discouraged in my career as a painter by the grown -ups at the age of six, and I hadn't learned anything to draw, except the closed boas and the open boas.	fr
Based on the assumption that advanced life, a technologically capable civilization that sends communications, takes five billion years to form, the researchers estimated that there are about 36 advanced civilizations in the Milky Way.	es
In a far, very far away universe, in which everything that is displayed becomes real, a new one has tried to view a four -dimensional object, and then view an object with an infinite number of dimensions that sent all our existence in chaos thus ending the universe as we know it.	ru
"""I see mine, but not yours.""- ""What are you talking about again? How should I know what you mean without given context?""- ""Of course I'm talking about our socks. What else?""- ""Well, I did mine in the drawer. I left yours lying down. That's yours and not mine."""	de
A building with high ceilings and huge rooms can be less practical than the colorless block of offices that takes its place, but often adapts well with the surrounding environment.	ru
At failures, the relative value of the pieces is normally the following: the lady is worth 9, Tower 5, the madman 3, the rider 3 and the pawn 1. The king has an absolute value.	fr
One, Dole, Tele, Catole, Quilete Quilete, was the queen in her cabinet, Gil came, turned off the candil, Candil Candilón, civil and thief.	es
"""Then, too,"" said Sancho, ""is understood at your mercy of trovas?""""And more than you think,"" said Don Quijote, ""and you will see it when you take a letter, written in verse from top to bottom, my lady Dulcinea del Toboso. Because I want you to know, Sancho, that all or the most walking gentlemen of the past age were great troubadours and great musicians;That these two skills, or thanks, for better say, are attached to the walking lovers. It is true that the couplets of the past gentlemen have more spirit than a primor."	es
Big changes in life, such as changes in the level of income, or in the legal and financial situation, can also create mental and physical sensations, which can overflow the ability to function properly.	es
In the chess game, the relative value of the pieces is normally the following: the lady is worth 9, tower 5, bishop 3, horse 3 and pawn 1. The king has absolute value.	es
"The president of the Amazigh World Congress, an ""international NGO who defends and promotes the individual and collective rights of the Berbers"" was summoned and questioned for two hours by the Algerian police on his activities and his reports of human rights violations in Kabylia."	fr
"These few years of happiness, suddenly ended by the most appalling of disasters, rekindled themselves in his mind. All their details, so light that they were, returned to his memory with such sharpness, that reality may not have been more ""real""!"	fr
Without a doubt, the right wife and vice versa are found in this world to every man;However, if you consider that a person only has the opportunity to be known with a few hundred others, of which he is only a dozen or less close, including a maximum of one or two friends, it is easy to think of the millions of residents of the world that has never met the right man of the right woman since the creation.	de
At the beginning of the game, the pawn is the piece of lower value, but if one pawn advances to the other end of the board (eighth row for white, the front row for blacks) will be promoted, that is, it will be replaced, at the choice of the player, by a horse, a bishop, a tower or, more often, by a lady.	es
"""Can you tell me what you do in my room?"""" "" Nothing. I just wanted to check the condition of your flowers. I know how important they are for you.""And I am the queen of Saba. Get out! Right away !»»"	fr
"I told the other children that our train hit a person and that for this reason we had a delay.""Oh my God, no, you didn't do it, really? The teacher will call me ..."" ""Everyone wanted to know if the person was dead and I said he had gone to the hospital.""""First you told the children of the war in Ukraine, now this? Please don't talk about these things at school, honey. Some children will get angry."""	ru
"Israel left with everything that belonged to him and arrived at Beer Shava, where he immolated victims to the God of his Father Isaac. The Lord spoke to Israel in the visions of the night, saying: ""Jacob! Jacob! He replied, ""Here I am.»»"	fr
If you fear snakes, don't enter my room because I have five there and are loose. I only put them in the terrarium to feed them.	es
The match of the World Championship of Chess Fide 2020, postponed due to the Pandemia di Coronavirus (Covid-19), will now be held from 26 November to 16 December 2021, together with the World Expo of Dubai, United Arab Emirates, between the World Champion in charge Magnus Carlsen and the GM Ian Nepomniachchi, who won the Tournament of Candidates of 2020.	ru
On the night of November 16, 1966, the rain of stars from Las Leónidas, which takes place every year in November, fell on Arizona at a rate of 2300 meteors per minute for a period of 20 minutes.	es
According to Tom, the theory of evolution through random changes and natural selection is not convincing for several reasons, the most important of which is the existence of DNA. Among the other unacceptable points, adds Tom, this theory states that the human mind - Socrates, Plato, Aristotle, Galileo, Newton, Shakespeare, Descartes, Da Vinci, Mozart, Einstein, Darwin himself - has evolved from the mind of an unidentified primate, who would be our ancestor.	ru
Rafael Leitão underlines that the insertion of chess in Brazilian schools is a positive fact, but he believes that we are still far from the minimum acceptable level for someone to earn a stable income as a professional chess player.	ru
The flood of the century this week in Australia also had an unexpected episode, because crowded spiders, including one of the most deadliest types in the world, were driven out of their actual habitat into the houses and gardens.	de
Transparency in government is a fundamental component of a democracy. Guarantee that the public has access to government information builds public confidence in the government of the decision -making process and allows the public to maintain the government responsible for those decisions.	ru
"Yahweh says to Abram: ""Leave your country, your kinship and your father's house, for the country that I will tell you.»»"	fr
In ladies' tournaments, the time for reflection of each player, defined by the rules of the competition, is controlled by a special clock, with two dials, equipped with a mechanism which, activated by the player who has just played, interrupts his timing and begins (starts again) the timing of the opponent.	fr
If the chess board is in the correct position, the field H1 on the right of white is a white field. As a result, the field A8 on the right of Schwarz is also a white field.	de
In 1609, Galileo knew of the Catalejo, an instrument that made the distant objects be closer. Galileo used his mathematical knowledge and technical expertise to improve the Catalejo and build a telescope.	es
Automatic doors can be more intelligent than so far. A new control system has been developed that only opens the door when a person advances directly to him. If the person simply stands in front of the door or goes along the door, then they remain closed.	fr
Is it possible to believe that subatomic particles, as well as the very particular forces that lead them to combine to generate the matter, are not the work of a supernatural intelligence?	ru
Many heretics, witches and atheists have been burned on the pyres of the Inquisition. Today, the scientist who recklessly declares that he believes in supernatural intelligence will be discriminated against by his materialist peers and prosecuted in his professional career.	fr
Sawdust, sawn, the timbers of San Juan, ask for bread, do not give them, ask cheese give them bone and cut off the neck.	es
Any political party should try to abolish social security, unemployment insurance and eliminate work laws and agricultural programs, it would not be heard about that party once again in our political history. There is a small splitting group, of course, who believes these things can be done. Among them are H. L. Hunt (probably knowing its history), a couple of other millionaires of Texas oil, and an occasional politician or businessman from other areas. Their number is negligible and are stupid.	ru
The French language, moreover, is pure water that handled writers have never been able to and can never disturb. Each century has threw in this crystal clear current its modes, its pretentious archaisms and its preciorsité, without anything excessive of these unnecessary attempts, of these helpless efforts. The nature of this language is to be clear, logical and nervous. She does not allow herself to weaken, obscure or corrupt.	fr
"When we go to die, we will be alone. Of all our earthly possessions we will be about to leave. The earthly friends - the friends who point to us our position, our wealth or our social qualities, - they will leave us when we enter the dark valley. Of those tied to us for stronger ties - our relatives, our beloved, children, brothers, sisters, and others no less loved by us who have been made our friends because they and we are friends of the same Savior, - of them we must also leave. Although not everything will leave us. There is one that ""remains closer than a brother"" - one who, having loved his people who are in the world, loves them until the end."	es
On May 6, 2014, the government issued the third state climate report of the United States. These are currently the most important and comprehensive scientific data acquisition on the effects of climate change in all regions of the United States and in important economic sectors.	de
"Since there are usually many websites on any given topic, I usually click on the ""back"" button and enough when I arrive on any web page that has pop-up advertising. I simply go to the next page found by Google and I hope to find something less irritating."	ru
Despite a flattering assumption of the opposite, people easily accommodate power. There are few reasons to think that the power of the big bankers, when they were suspected of having it, was very frowned upon. But as the ghosts will be evidenced by many tyrants, from Julius Caesar to Benito Mussolini, people will be ruthless towards those who, having had power, have lost it or ended up in forfeiture. Then to anger against past arrogance is added the contempt for the present weakness. The victim or his corpse undergoes all possible unworthiness.	fr
The people cried out, and the priests were ranging trumpets. When the people heard the sound of the trumpet, they pushed great cries, and the wall collapsed;The people put up in the city, each in front of you. They seized the city, and they devoted by prohibited, over the sword, everything that was in the city, men and women, children and old men, to the oxen, to sheep and donkeys.	fr
I recently went on my home way from school to a used bookstore and happened to find a book that I had been looking for for a long time.	de
